,precision,recall,f1-score,support
angry,0.5150501672240803,0.12310151878497202,0.19870967741935486,2502.0
calm,0.4093552465233881,0.6374015748031496,0.49853733641262515,2540.0
disgust,0.533292608430055,0.3414157215486899,0.4163090128755365,2557.0
fearful,0.39701104613385313,0.5340909090909091,0.45546030562802836,2288.0
happy,0.5163881748071979,0.7225719424460432,0.6023238380809596,2224.0
sad,0.34516129032258064,0.4087089381207028,0.3742567331234697,2618.0
surprised,0.2099125364431487,0.13565708902496468,0.1648068669527897,2123.0
