,precision,recall,f1-score,support
angry,0.39266615737203975,0.8107255520504731,0.5290787442099846,634.0
calm,0.6915077989601387,0.59375,0.6389111289031225,672.0
disgust,0.838074398249453,0.5424929178470255,0.6586414445399827,706.0
fearful,0.639344262295082,0.4875,0.5531914893617021,560.0
happy,0.7704280155642024,0.3467600700525394,0.4782608695652174,571.0
sad,0.49473684210526314,0.06772334293948126,0.11913814955640051,694.0
surprised,0.24251968503937008,0.554954954954955,0.3375342465753425,555.0
accuracy,0.4831511839708561,0.4831511839708561,0.4831511839708561,0.4831511839708561
macro avg,0.5813253085122213,0.48627240540635347,0.47353658181596464,4392.0
weighted avg,0.5877088085677387,0.4831511839708561,0.4741968660070595,4392.0
