batch_size;24
loss_train;[0.2050294131040573, 0.034838106483221054, 0.021755531430244446, 0.0177364032715559]
loss_val;[2.6341066360473633, 3.224550485610962, 3.010791778564453, 3.171978712081909]
accuracy_train;[0.9300798177719116, 0.9882631897926331, 0.9932406544685364, 0.9944924116134644]
accuracy_val;[0.523183286190033, 0.5029475092887878, 0.5387710928916931, 0.5030608773231506]
loss_test;2.7350382804870605
accuracy_test;0.4329776465892792
mean_epoch_time;1265.152918279171
