,precision,recall,f1-score,support
angry,0.4443804034582133,0.5863117870722433,0.5055737704918034,1315.0
calm,0.8442460317460317,0.6364996260284218,0.7257995735607675,1337.0
disgust,0.9246119733924612,0.6136865342163356,0.7377266696152145,1359.0
fearful,0.6016511867905057,0.5082824760244115,0.5510396975425331,1147.0
happy,0.7146464646464646,0.7453906935908692,0.7296948861194671,1139.0
sad,0.5132827324478179,0.39117859725235,0.4439885104636849,1383.0
surprised,0.26348547717842324,0.4601449275362319,0.33509234828496043,1104.0
accuracy,0.5620446265938069,0.5620446265938069,0.5620446265938069,0.5620446265938069
macro avg,0.615186324237131,0.5630706631029805,0.5755593508683472,8784.0
weighted avg,0.6232353218458213,0.5620446265938069,0.5788862878988814,8784.0
