,precision,recall,f1-score,support
angry,0.46237337192474676,0.5107913669064749,0.48537789593619446,2502.0
disgust,0.5852623456790124,0.5932733672272194,0.5892406292483977,2557.0
fearful,0.591041061800083,0.6228146853146853,0.6065120238348585,2288.0
happy,0.7150635208711433,0.7086330935251799,0.7118337850045167,2224.0
sad,0.34039675383228135,0.28838808250572956,0.3122415219189413,2618.0
accuracy,0.5374518008040036,0.5374518008040036,0.5374518008040036,0.5374518008040036
macro avg,0.5388274108214534,0.5447801190958578,0.5410411711885816,12189.0
weighted avg,0.5322123156785524,0.5374518008040036,0.5340364211492741,12189.0
