,precision,recall,f1-score,support
angry,0.5035700864336715,0.5355715427657873,0.5190780553941506,2502.0
calm,0.575,0.5433070866141733,0.5587044534412955,2540.0
disgust,0.763506625891947,0.5858427845131013,0.6629785350741314,2557.0
fearful,0.3992355802640723,0.5021853146853147,0.4448315911730546,2288.0
happy,0.7308622078968574,0.40782374100719426,0.5235209235209235,2224.0
sad,0.31181556195965415,0.619938884644767,0.4149303336315991,2618.0
surprised,0.18811881188118812,0.044747998115873766,0.07229832572298327,2123.0
accuracy,0.4742463802516022,0.4742463802516022,0.4742463802516022,0.4742463802516022
macro avg,0.4960155534753415,0.46277390747803027,0.4566203168511626,16852.0
weighted avg,0.5000781352660633,0.4742463802516022,0.46492647127898834,16852.0
