,precision,recall,f1-score,support
angry,0.2578938084318222,0.5843325339728217,0.35785093623791453,2502.0
calm,0.5053579082726104,0.4641732283464567,0.48389082700595115,2540.0
disgust,0.6657754010695187,0.2921392256550645,0.4060886110356075,2557.0
fearful,0.19426565242832067,0.1451048951048951,0.16612459344508382,2288.0
happy,0.5743707093821511,0.3385791366906475,0.42602545968882605,2224.0
sad,0.13284275755228506,0.13101604278074866,0.13192307692307695,2618.0
surprised,0.20649106302916276,0.20678285445124822,0.20663685573076018,2123.0
accuracy,0.3118324234512224,0.3118324234512224,0.3118324234512224,0.3118324234512224
macro avg,0.3624281857379816,0.3088754167145546,0.3112200514381743,16852.0
weighted avg,0.36430632760196446,0.3118324234512224,0.3129855609857433,16852.0
