emotion,precision,recall,f1-score,support
angry,0.5372104484967964,0.43565147881694644,0.481129993378945,2502.0
calm,0.6450760079312624,0.384251968503937,0.4816185541574143,2540.0
disgust,0.6998158379373849,0.5944466171294486,0.6428420384859379,2557.0
fearful,0.33096366508688785,0.5493881118881119,0.4130791981597108,2288.0
happy,0.44364508393285373,0.7486510791366906,0.5571356867993977,2224.0
sad,0.3228621291448517,0.3533231474407945,0.33740652927229625,2618.0
surprised,0.23407202216066483,0.07960433349034385,0.11880492091388398,2123.0
