,precision,recall,f1-score,support
angry,0.6173913043478261,0.3239543726235741,0.42493765586034915,1315.0
calm,0.36284251731406203,0.9012715033657442,0.5173894375268355,1337.0
disgust,0.6213960546282246,0.6026490066225165,0.6118789689951437,1359.0
fearful,0.3774703557312253,0.3330427201394943,0.35386753126447423,1147.0
happy,0.5252659574468085,0.34679543459174716,0.4177683765203596,1139.0
sad,0.514161220043573,0.34128705712219815,0.4102564102564103,1383.0
surprised,0.23027166882276842,0.161231884057971,0.18966435801811402,1104.0
accuracy,0.4413706739526412,0.4413706739526412,0.4413706739526412,0.4413706739526412
macro avg,0.46411415404778394,0.43003313978903507,0.41796610549166946,8784.0
weighted avg,0.4710847634747583,0.4413706739526412,0.42584067852320057,8784.0
