VGG16/Run_1;8;10.49;10.64;[0.2812809646129608, 0.02308654598891735, 0.006860595662146807, 0.008647916838526726, 0.0009382443386130035, 8.184633770724759e-05, 3.873398236464709e-05, 2.7223315555602312e-05];[0.9054481983184814, 0.9930682182312012, 0.9981337189674377, 0.9984474182128906, 0.99982750415802, 1.0, 1.0, 1.0];[1.885023593902588, 2.2189652919769287, 2.723979949951172, 2.684321403503418, 3.3781583309173584, 3.7814202308654785, 4.014485836029053, 4.1638875007629395];[0.5597518086433411, 0.5584869384765625, 0.5772798657417297, 0.5648717284202576, 0.577580988407135, 0.5794482827186584, 0.5790266394615173, 0.5790266394615173];2.2286863327026367;0.47946831583976746;301.2592162489891;
VGG16/Run_2;8;10.49;10.64;[0.58000248670578, 0.08196494728326797, 0.03534005209803581, 0.019917327910661697, 0.015277093276381493, 0.008181747980415821, 0.005461934953927994, 0.0027557832654565573];[0.7957311272621155, 0.9726334810256958, 0.9889593124389648, 0.9938052892684937, 0.9958754181861877, 0.9975848197937012, 0.998870849609375, 0.9993413090705872];[2.1629021167755127, 2.808079957962036, 2.716214656829834, 3.3714284896850586, 2.919018030166626, 3.0055527687072754, 3.2637112140655518, 3.783299684524536];[0.5233706831932068, 0.5117455720901489, 0.45916154980659485, 0.5423442721366882, 0.5625225901603699, 0.5554150342941284, 0.5678231716156006, 0.5392723679542542];2.3647773265838623;0.4587585926055908;86.55773928761482;
VGG16/Run_3;8;10.49;10.64;[0.36377111077308655, 0.05087270587682724, 0.019820645451545715, 0.011313763447105885, 0.007913721725344658, 0.009094396606087685, 0.003822595113888383, 0.0023915371857583523];[0.8715419173240662, 0.9835643768310547, 0.9936327934265137, 0.9965811371803284, 0.9976946115493774, 0.9979298710823059, 0.9989022016525269, 0.9994824528694153];[1.9888635873794556, 2.1053688526153564, 2.8480279445648193, 2.4744091033935547, 3.068594217300415, 2.569434881210327, 3.3424696922302246, 3.2083911895751953];[0.5380676984786987, 0.5805324912071228, 0.5713167190551758, 0.6179978251457214, 0.5486086010932922, 0.5707143545150757, 0.5840862393379211, 0.5946271419525146];2.5832741260528564;0.47424638271331787;281.559990555048;
VGG16_Imagenet/Run_1;11;5.59;5.55;[0.3950914740562439, 0.06222693622112274, 0.0828559547662735, 0.05072996765375137, 0.04944552108645439, 0.04444583132863045, 0.006887744180858135, 0.0001384350034641102, 4.9210535507882014e-05, 2.7486505132401362e-05, 1.7721256881486624e-05];[0.908123254776001, 0.9829332828521729, 0.9800084233283997, 0.9882704019546509, 0.9892956018447876, 0.9897781014442444, 0.9981305003166199, 1.0, 1.0, 1.0, 1.0];[4.4204487800598145, 8.17514705657959, 7.203535079956055, 6.428376197814941, 10.326250076293945, 11.76077651977539, 10.407870292663574, 10.113324165344238, 9.891414642333984, 9.817418098449707, 9.852806091308594];[0.5382618308067322, 0.44785553216934204, 0.547178328037262, 0.5778781175613403, 0.5492099523544312, 0.5119639039039612, 0.5563205480575562, 0.5659142136573792, 0.5718961358070374, 0.5750564336776733, 0.5750564336776733];4.525152206420898;0.43920764327049255;345.30837020007044;
vulpe_grigorasi/Run_1;13;2.87;3.05;[0.2203836590051651, 0.08639808744192123, 0.07916329056024551, 0.052327871322631836, 0.03729074448347092, 0.023252645507454872, 0.03266141191124916, 0.030733423307538033, 0.01232181303203106, 0.010366316884756088, 0.00853071827441454, 0.006852711085230112, 0.0078011685982346535];[0.91372150182724, 0.9687535166740417, 0.9699315428733826, 0.980814516544342, 0.9861438274383545, 0.9920902252197266, 0.988051176071167, 0.9897902011871338, 0.9960731267929077, 0.9961853623390198, 0.9969146251678467, 0.9978682994842529, 0.997139036655426];[3.1709258556365967, 1.0676347017288208, 0.8289551138877869, 1.833648443222046, 0.9997671246528625, 0.9499423503875732, 1.4090440273284912, 2.3047001361846924, 1.0287114381790161, 1.2296322584152222, 1.26667320728302, 1.3262898921966553, 1.3236351013183594];[0.6235164999961853, 0.6736263632774353, 0.7525274753570557, 0.7261538505554199, 0.7925274968147278, 0.7529670596122742, 0.7263736128807068, 0.6389011144638062, 0.742417573928833, 0.7534065842628479, 0.7351648211479187, 0.7586812973022461, 0.7498900890350342];0.7419283390045166;0.7249070405960083;98.31392249694237;
VGG16_Imagenet_5emotions/Run_1;4;7.67;7.7;[1.1128978729248047, 0.27014318108558655, 0.13870517909526825, 0.08970221877098083];[0.6520972847938538, 0.9070111513137817, 0.9550292491912842, 0.9718334674835205];[1.4440300464630127, 2.1246063709259033, 2.856962203979492, 3.5817670822143555];[0.6208827495574951, 0.622035562992096, 0.607048749923706, 0.6110836863517761];1.5154088735580444;0.5374518036842346;288.7407427430153;
VGG16_VGGFace_5emotions/Run_1;7;7.67;7.7;[0.5180858373641968, 0.06780412793159485, 0.039085373282432556, 0.029169803485274315, 0.027521848678588867, 0.0019857401493936777, 0.0005323410150595009];[0.8237086534500122, 0.9797348976135254, 0.988789975643158, 0.992272675037384, 0.9924468398094177, 0.9994340538978577, 0.9998911619186401];[1.8699777126312256, 1.6006779670715332, 1.9500956535339355, 2.737502098083496, 1.8012837171554565, 2.5194790363311768, 3.075531244277954];[0.6714426875114441, 0.7071805000305176, 0.6587615013122559, 0.5661231875419617, 0.6409749388694763, 0.6579380631446838, 0.6431983113288879];2.2904131412506104;0.5890557169914246;649.0439083235605;
EfficientNetB0_Imagenet/Run_1;14;11.14;11.36;[1.1273183822631836, 0.9074453115463257, 0.8688913583755493, 0.855478048324585, 0.7495347857475281, 0.7266688346862793, 0.7259036898612976, 0.7227475047111511, 0.7229021787643433, 0.7174021005630493, 0.7194420695304871, 0.7180299758911133, 0.6904367804527283, 0.6872491240501404];[0.6550083756446838, 0.7043265700340271, 0.7104673981666565, 0.7127646803855896, 0.7472682595252991, 0.75261390209198, 0.7546019554138184, 0.7562218308448792, 0.7573999166488647, 0.7586958408355713, 0.7568845152854919, 0.7580626010894775, 0.7662209272384644, 0.7677966356277466];[2.0916037559509277, 2.0950729846954346, 2.1393473148345947, 2.0959279537200928, 1.8993780612945557, 1.8757282495498657, 1.8581568002700806, 1.8992623090744019, 1.8278480768203735, 1.8641144037246704, 1.9551478624343872, 2.004929304122925, 1.9979554414749146, 1.9956048727035522];[0.40652987360954285, 0.433567613363266, 0.4371386468410492, 0.4110645055770874, 0.4539734721183777, 0.45805463194847107, 0.4761365056037903, 0.46394968032836914, 0.46746399998664856, 0.4719419479370117, 0.4593016803264618, 0.4495522081851959, 0.45249971747398376, 0.4503457546234131];1.8450863361358643;0.4228631854057312;326.4612429482596;
VGG16_VGGFACE2/Run_2;6;11.14;11.36;[0.8826445937156677, 0.18938399851322174, 0.12691013514995575, 0.09517204016447067, 0.030913179740309715, 0.02229364402592182];[0.8055694699287415, 0.9358230233192444, 0.9569993615150452, 0.9679262638092041, 0.9893971085548401, 0.9923717975616455];[3.561596632003784, 5.274146556854248, 5.356951713562012, 5.408073902130127, 6.090630054473877, 5.992568492889404];[0.4330574870109558, 0.3834032416343689, 0.3961002230644226, 0.4356648921966553, 0.4263688921928406, 0.4297698736190796];3.0594334602355957;0.42430809140205383;376.17050162951153;
dog_cat/Run_9;4;11.14;11.36;[0.49816209077835083, 0.08846020698547363, 0.051961373537778854, 0.03992575779557228];[0.8183223605155945, 0.9703266024589539, 0.9832562804222107, 0.9872618317604065];[2.1054866313934326, 2.349452018737793, 3.04007625579834, 2.6178975105285645];[0.5158145427703857, 0.5453463196754456, 0.5319691896438599, 0.5260174870491028];2.259594678878784;0.4439813196659088;1140.7591480016708;
