4Layer_ConvNet_FER;2;9.98;10.02;1.8877774477005005;0.3105468675494194;1.8327646255493164;0.3270312398672104;1.6361908912658691;0.39625000953674316;81.79943370819092;
baseline_model\Run_8;12;2.78;2.84;[1.491243839263916, 0.8958336114883423, 0.5925294160842896, 0.421051561832428, 0.3220950961112976, 0.2503575384616852, 0.19785849750041962, 0.11925621330738068, 0.09749442338943481, 0.08652429282665253, 0.07854566723108292, 0.07573860883712769];[0.46654099225997925, 0.696041464805603, 0.8049010634422302, 0.8638666272163391, 0.8962064385414124, 0.9197101593017578, 0.9372054934501648, 0.9642436504364014, 0.9691329002380371, 0.9739632606506348, 0.9764373302459717, 0.977438747882843];[2.379054546356201, 1.9647409915924072, 2.7024037837982178, 2.2822213172912598, 3.088564872741699, 2.576852798461914, 2.64884352684021, 2.934627056121826, 2.8869941234588623, 3.030377149581909, 3.414881467819214, 3.3104465007781982];[0.27414965629577637, 0.3489795923233032, 0.30816325545310974, 0.38163265585899353, 0.32403627038002014, 0.43015873432159424, 0.4147392213344574, 0.4047619104385376, 0.4147392213344574, 0.4027210772037506, 0.3979591727256775, 0.39047619700431824];2.087320327758789;0.29946643114089966;90.77824272712071;
test_vgg\Run_1;2;1.11;1.13;[1.0264264345169067, 0.6826502680778503];[0.6188512444496155, 0.7491899728775024];[2.3754968643188477, 2.797137975692749];[0.35657596588134766, 0.3713151812553406];2.1502225399017334;0.37354084849357605;189.36734652519226;
VGG16_VGGFACE\Run_5;2;0.55;0.56;[2.864929437637329, 1.870262622833252];[0.2053019106388092, 0.3030927777290344];[1.941967487335205, 2.0581369400024414];[0.26757368445396423, 0.3027210831642151];1.904187560081482;0.26696330308914185;61.30821871757507;
dog_cat\Run_2;2;0.14;0.15;[0.695888876914978, 0.6676843166351318];[0.4612794518470764, 0.5858585834503174];[0.6916781067848206, 0.6767258048057556];[0.5330396294593811, 0.5638766288757324];0.6536361575126648;0.6859503984451294;63.75932323932648;
dog_cat\Run_3;10;0.57;0.61;[0.3999590277671814, 0.10320592671632767, 0.06630518287420273, 0.04936280474066734, 0.0387183353304863, 0.031805574893951416, 0.026789791882038116, 0.022998621687293053, 0.020033663138747215, 0.017738865688443184];[0.8743337988853455, 0.9629733562469482, 0.9803646802902222, 0.9868162870407104, 0.99102383852005, 0.9927068948745728, 0.9946703910827637, 0.9955119490623474, 0.9960729479789734, 0.9971949458122253];[1.2946746349334717, 1.1732388734817505, 1.1317601203918457, 1.1222708225250244, 1.116330623626709, 1.1104851961135864, 1.1044877767562866, 1.1072887182235718, 1.1061527729034424, 1.106697678565979];[0.6362637281417847, 0.6725274920463562, 0.6912087798118591, 0.708791196346283, 0.7175824046134949, 0.7219780087471008, 0.7274725437164307, 0.7285714149475098, 0.7318681478500366, 0.7329670190811157];0.870754063129425;0.7592975497245789;153.0488492965698;
dog_cat\Run_4;3;0.57;0.61;[0.41685950756073, 0.11421673744916916, 0.07410610467195511];[0.8835904598236084, 0.9601683020591736, 0.9739130139350891];[1.1537703275680542, 0.9913614988327026, 0.9251793622970581];[0.6736263632774353, 0.7010989189147949, 0.7131868004798889];0.8567315340042114;0.7324380278587341;153.74819723765054;
dog_cat\Run_5;9;0.28;0.3;[0.32618099451065063, 0.10608873516321182, 0.0577804334461689, 0.02813398651778698, 0.01782374083995819, 0.008397537283599377, 0.004557932261377573, 0.0019558703061193228, 0.0016990487929433584];[0.8630751967430115, 0.9629629850387573, 0.9797979593276978, 0.9927048087120056, 0.9955106377601624, 0.9983165264129639, 0.9994388222694397, 1.0, 1.0];[0.3899347186088562, 0.38051724433898926, 0.39701250195503235, 0.4192274510860443, 0.4657594561576843, 0.5128533840179443, 0.5799855589866638, 0.6236359477043152, 0.6321311593055725];[0.795604407787323, 0.8307692408561707, 0.8329670429229736, 0.8439560532569885, 0.8439560532569885, 0.8417582511901855, 0.8417582511901855, 0.8417582511901855, 0.8417582511901855];0.49457934498786926;0.8305785059928894;98.05407200919257;
dog_cat\Run_6;9;0.28;0.3;[0.3034340441226959, 0.10675021260976791, 0.04596072807908058, 0.028564652428030968, 0.015522003173828125, 0.007602957542985678, 0.004270814824849367, 0.0014258022420108318, 0.0012018525740131736];[0.8658810257911682, 0.9618406295776367, 0.9842873215675354, 0.9898989796638489, 0.9949495196342468, 0.9983165264129639, 0.9994388222694397, 1.0, 1.0];[0.40966230630874634, 0.3431572914123535, 0.36232128739356995, 0.39040806889533997, 0.42392444610595703, 0.44961583614349365, 0.49833396077156067, 0.5518162250518799, 0.5595152974128723];[0.8175824284553528, 0.8417582511901855, 0.8527472615242004, 0.8725274801254272, 0.8571428656578064, 0.8703296780586243, 0.8637362718582153, 0.8615384697914124, 0.8615384697914124];0.48203524947166443;0.836776852607727;91.73513001865811;
dog_cat\Run_7;9;0.28;0.3;[0.30813315510749817, 0.09960463643074036, 0.042888615280389786, 0.022058168426156044, 0.01580643840134144, 0.005168660543859005, 0.002425075974315405, 0.0011471746256574988, 0.0010139128426089883];[0.8580247163772583, 0.9629629850387573, 0.9831649661064148, 0.9927048087120056, 0.9943883419036865, 0.9994388222694397, 1.0, 1.0, 1.0];[0.35389044880867004, 0.29967302083969116, 0.32801344990730286, 0.32941755652427673, 0.3799843192100525, 0.4459417760372162, 0.5501450300216675, 0.6277074813842773, 0.6372189521789551];[0.8417582511901855, 0.8659340739250183, 0.8703296780586243, 0.8901098966598511, 0.8813186883926392, 0.8703296780586243, 0.8725274801254272, 0.8637362718582153, 0.8637362718582153];0.5317462086677551;0.8429751992225647;91.57225113444858;
dog_cat\Run_8;7;0.28;0.3;[1.0453096628189087, 0.7111020684242249, 0.6952037215232849, 0.6932178735733032, 0.6931983232498169, 0.6931995153427124, 0.6932033896446228];[0.48035913705825806, 0.4932659864425659, 0.48821547627449036, 0.48709315061569214, 0.5050504803657532, 0.5050504803657532, 0.5050504803657532];[0.6921793222427368, 0.6907559037208557, 0.6932763457298279, 0.6927667260169983, 0.6925103068351746, 0.6923803687095642, 0.6923144459724426];[0.5384615659713745, 0.5384615659713745, 0.4615384638309479, 0.5384615659713745, 0.5384615659713745, 0.5384615659713745, 0.5384615659713745];0.6821964383125305;0.5764462947845459;105.61481421334403;
dog_cat\Run_9;8;0.28;0.3;[0.7612133026123047, 0.693164050579071, 0.666541337966919, 0.6606127619743347, 0.6978462934494019, 0.6935744881629944, 0.6931509971618652, 0.6931490302085876];[0.48933783173561096, 0.5028058290481567, 0.6228955984115601, 0.624579131603241, 0.4988776743412018, 0.49494948983192444, 0.5050504803657532, 0.5050504803657532];[0.6917161345481873, 0.5004781484603882, 0.4945691227912903, 0.6902868747711182, 0.6901067495346069, 0.6925478577613831, 0.6924878358840942, 0.6924455761909485];[0.5384615659713745, 0.7736263871192932, 0.7560439705848694, 0.5384615659713745, 0.5384615659713745, 0.5384615659713745, 0.5384615659713745, 0.5384615659713745];0.6804986000061035;0.6322314143180847;96.30169150233269;
dog_cat\Run_10;9;0.28;0.3;[0.1583194136619568, 0.033274270594120026, 0.014909989200532436, 0.023030977696180344, 0.009435907006263733, 0.0004633524513337761, 0.0001593069900991395, 9.906914783641696e-05, 7.018618634901941e-05];[0.9377104640007019, 0.9904601573944092, 0.9955106377601624, 0.9921436309814453, 0.9971941709518433, 1.0, 1.0, 1.0, 1.0];[0.3893369436264038, 0.4800439178943634, 0.7548143863677979, 0.300913542509079, 0.8782662749290466, 0.7754122614860535, 0.799705982208252, 0.8237234354019165, 0.8457819819450378];[0.8329670429229736, 0.8417582511901855, 0.8505494594573975, 0.8769230842590332, 0.8549450635910034, 0.8637362718582153, 0.8681318759918213, 0.8681318759918213, 0.8681318759918213];0.7260648012161255;0.8223140239715576;96.2778578599294;
dog_cat\Run_8;4;0.15;0.15;[0.30585920810699463, 0.09235259890556335, 0.03591097518801689, 0.051892902702093124];[0.8701716661453247, 0.9645922780036926, 0.9892703890800476, 0.983905553817749];[0.8824607729911804, 0.2321072816848755, 0.8264743089675903, 0.38891175389289856];[0.654321014881134, 0.8930041193962097, 0.7037037014961243, 0.8148148059844971];0.5292960405349731;0.829365074634552;90.96507823467255;
