Folder,Name,WINSIZE,PYR_SCALE,POLY_SIGMA,POLY_N,LEVELS,ITERATIONS,FLAGS,Time,Note,Good
Run_102,01-01-07-02-01-01-03,10,0.8,1.5,5,3,5,0,5.753463599998213,skip,0
Run_103,01-01-07-02-01-01-03,10,0.7,1.5,5,5,5,0,4.945669200002158,skip,0
Run_100,01-01-07-02-01-01-03,3,0.5,1.7,5,3,1,0,7.143188599999121,skip,0
Run_101,01-01-07-02-01-01-03,3,0.1,1.5,5,5,3,0,4.425384699999995,skip,0
Run_102,01-01-07-02-01-01-03,3,0.8,1.5,5,3,5,0,8.867336900002556,skip,0
Run_103,01-01-07-02-01-01-03,3,0.7,1.5,5,5,5,0,4.109888599996339,skip,0
Run_104,01-01-07-02-01-01-03,3,0.7,1.7,7,5,10,0,5.237826500000665,skip,0
Run_105,01-01-07-02-01-01-03,3,0.3,1.5,5,3,5,0,4.257912800007034,skip,0
Run_100,01-01-07-02-01-01-03,5,0.5,1.7,5,3,1,0,7.451893299999938,skip,0
Run_101,01-01-07-02-01-01-03,5,0.1,1.5,5,5,3,0,7.816608100001758,skip,0
Run_102,01-01-07-02-01-01-03,5,0.8,1.5,5,3,5,0,3.876869200001238,skip,0
Run_103,01-01-07-02-01-01-03,5,0.7,1.5,5,5,5,0,4.197810300000128,skip,0
Run_104,01-01-07-02-01-01-03,5,0.7,1.7,7,5,10,0,5.139459799996985,skip,0
Run_105,01-01-07-02-01-01-03,5,0.3,1.5,5,3,5,0,5.899043599994911,skip,0
Run_106,01-01-07-02-01-01-03,5,0.8,1.7,5,3,3,0,3.627241000001959,skip,0
Run_107,01-01-07-02-01-01-03,5,0.9,1.5,7,5,3,0,5.654057400002785,skip,0
Run_108,01-01-07-02-01-01-03,5,0.5,1.7,5,3,10,0,4.138187699994887,skip,0
Run_109,01-01-07-02-01-01-03,5,0.6,1.5,7,3,10,0,8.398416399999405,skip,0
Run_105,01-01-07-02-01-01-03,3,False,0.3,0.25,0.8,2,1,5,0.15,2,0.0,0.01,19.796117799996864,,1
Run_200,01-01-07-02-01-01-03,3,False,0.3,0.25,0.8,2,1,5,0.15,2,0.0,0.01,17.158739099999366,,1
Run_100,01-01-07-02-01-01-03,3,0.5,1.7,5,3,1,0,14.102461400005268,,-
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,25.35855470000388,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,17.11522330000298,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,22.732146599999396,,1
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,23.650722800004587,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,19.871337600001425,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,17.162495299999136,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,18.152353600002243,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,18.370006500001182,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,17.338698399995337,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,18.7782176000037,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,19.996875900003943,,-
Run_100,01-01-07-02-01-01-03,1,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,23.013058200005617,,-
Run_100,01-01-07-02-01-01-03,3,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,34.24083909999899,,-
Run_100,01-01-07-02-01-01-03,3,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,33.122199999997974,,-
Run_100,01-01-07-02-01-01-03,4,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,42.380112499999086,,-
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,24.406883600000583,,1
Run_101,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.1,2,0.0,0.01,4.828932100001111,skip,0
Run_102,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.3,2,0.0,0.01,4.198206000000937,skip,0
Run_103,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.5,2,0.0,0.01,5.607599700000719,skip,0
Run_104,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.7,2,0.0,0.01,8.547716400000354,skip,0
Run_105,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.8,2,0.0,0.01,5.152001099999325,skip,0
Run_106,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.9,2,0.0,0.01,5.347929499999736,skip,0
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.15,2,0.0,0.01,4.308250999998563,skip,0
Run_101,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.1,2,0.0,0.01,6.810479100000521,skip,0
Run_102,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,2,5,5,0.3,2,0.0,0.01,8.450504899999942,skip,0
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,28.3755919000032,,-
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,29.012111699999878,,-
Run_100,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,30.54648360000101,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,38.12401990000217,,0
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.48814919999859,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,37.43317009999737,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.55596140000125,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.02423930000077,,-
Run_200,01-01-07-02-01-01-03,20,0.5,1.7,5,3,1,0,17.81544920000306,,-
Run_201,01-01-07-02-01-01-03,20,0.1,1.5,5,5,3,0,11.332800099997257,,-
Run_200,01-01-07-02-01-01-03,20,0.7,1.5,7,5,3,0,21.290507000005164,,-
Run_200,01-01-07-02-01-01-03,20,0.7,1.5,7,5,3,0,21.27025469999353,,-
Run_200,01-01-07-02-01-01-03,20,0.7,1.5,7,5,3,0,21.30432380000275,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.761736499996914,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.71021550000296,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.95599979999679,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.970479300005536,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,35.87609640000301,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.86085720000119,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,37.38551449999795,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.31443259999651,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.470622099994216,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.09985069999675,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.4391289999985,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,37.16581369999767,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.48451059999934,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,36.65036189999955,,-
Run_200,01-01-07-02-01-01-03,2,False,0.3,0.25,0.8,3,3,5,0.15,3,0.0,0.01,37.13139870000305,,-
Run_200,01-01-07-02-01-01-03,20,0.7,1.5,7,5,3,0,16.321984200000315,,-
Run_1,01-01-07-02-01-01-03,20,0.7,1.5,7,5,3,0,16.36155570000028,,0
Run_1,01-01-07-02-01-01-03,15,0.5,1.7,5,3,10,0,15.958607900000061,,0
Run_2,01-01-07-02-01-01-03,3,0.8,1.7,7,5,3,0,18.001767400000062,,0
Run_3,01-01-07-02-01-01-03,7,0.8,1.5,7,3,5,0,15.276528999999755,,0
Run_4,01-01-07-02-01-01-03,10,0.8,1.7,5,3,10,0,19.90757389999999,,0
Run_5,01-01-07-02-01-01-03,15,0.5,1.7,5,3,1,0,5.128689099999974,skip,0
Run_6,01-01-07-02-01-01-03,10,0.5,1.5,7,3,3,0,3.7211316000002626,skip,0
Run_7,01-01-07-02-01-01-03,3,0.8,1.5,7,3,3,0,3.8341990999997506,skip,0
Run_8,01-01-07-02-01-01-03,7,0.9,1.7,7,3,3,0,3.1580654999997932,skip,0
Run_9,01-01-07-02-01-01-03,3,0.6,1.7,7,5,1,0,7.4121696000001975,skip,0
Run_10,01-01-07-02-01-01-03,3,0.9,1.5,5,5,1,0,4.631700599999931,skip,0
Run_11,01-01-07-02-01-01-03,7,0.9,1.5,5,5,1,0,3.0127572999999757,skip,0
Run_12,01-01-07-02-01-01-03,15,0.8,1.7,5,3,10,0,1.9017021999998178,skip,0
Run_1,01-01-07-02-01-01-03,15,0.5,1.5,5,5,5,0,0.969451900000422,skip,0
Run_2,01-01-07-02-01-01-03,10,0.3,1.7,5,5,5,0,1.5929075999993074,skip,0
Run_3,01-01-07-02-01-01-03,15,0.5,1.5,5,3,3,0,2.9455078999999387,skip,0
Run_4,01-01-07-02-01-01-03,10,0.8,1.5,5,3,10,0,3.276031200000034,skip,0
Run_5,01-01-07-02-01-01-03,10,0.1,1.7,5,5,1,0,2.241271000000779,skip,0
Run_6,01-01-07-02-01-01-03,10,0.3,1.5,7,3,1,0,1.9869448999997985,skip,0
Run_7,01-01-07-02-01-01-03,10,0.8,1.7,5,5,3,0,1.9261421999999584,skip,0
Run_8,01-01-07-02-01-01-03,15,0.7,1.7,5,5,1,0,1.6493561000006594,skip,0
Run_9,01-01-07-02-01-01-03,10,0.1,1.7,5,5,10,0,2.151171399999839,skip,0
Run_10,01-01-07-02-01-01-03,10,0.6,1.7,5,3,10,0,2.6453988000002937,skip,0
Run_11,01-01-07-02-01-01-03,15,0.9,1.7,7,3,1,0,1.747812999999951,skip,0
Run_12,01-01-07-02-01-01-03,10,0.7,1.5,7,3,3,0,2.2461482999997315,skip,0
