,precision,recall,f1-score,support
happy,0.814105558150397,0.7837230215827338,0.7986254295532645,2224.0
sad,0.821917808219178,0.8479755538579068,0.8347433728144388,2618.0
accuracy,0.8184634448574969,0.8184634448574969,0.8184634448574969,0.8184634448574969
macro avg,0.8180116831847875,0.8158492877203203,0.8166844011838517,4842.0
weighted avg,0.8183295297902294,0.8184634448574969,0.81815388379898,4842.0
