,precision,recall,f1-score,support
angry,0.1111111111111111,0.00819672131147541,0.015267175572519085,122.0
calm,0.37656903765690375,0.6976744186046512,0.4891304347826087,129.0
disgust,0.782608695652174,0.22929936305732485,0.354679802955665,157.0
fearful,0.1687344913151365,0.6476190476190476,0.2677165354330709,105.0
happy,0.4731182795698925,0.37606837606837606,0.419047619047619,117.0
sad,0.5384615384615384,0.0546875,0.09929078014184398,128.0
surprised,0.1794871794871795,0.08333333333333333,0.1138211382113821,84.0
accuracy,0.3004750593824228,0.3004750593824228,0.3004750593824228,0.3004750593824228
macro avg,0.3757271904648479,0.2995541085706012,0.25127906944924405,842.0
weighted avg,0.4062642362570715,0.3004750593824228,0.2613469758762461,842.0
