,precision,recall,f1-score,support
angry,0.17221418234442837,0.8459715639810427,0.28617234468937874,1266.0
calm,0.36245954692556637,0.26498422712933756,0.30615034168564925,1268.0
disgust,0.813141683778234,0.3076923076923077,0.44644870349492666,1287.0
fearful,0.3333333333333333,0.0009033423667570009,0.0018018018018018016,1107.0
happy,0.41215715344699777,0.4977618621307073,0.4509326845093269,1117.0
neutral,0.0,0.0,0.0,569.0
sad,0.25,0.002304147465437788,0.0045662100456621,1302.0
surprised,0.0,0.0,0.0,1081.0
accuracy,0.2626431032566411,0.2626431032566411,0.2626431032566411,0.2626431032566411
macro avg,0.29291323747857,0.23995218134569876,0.18700901077834317,8997.0
weighted avg,0.3199971932613703,0.2626431032566411,0.20414626116517642,8997.0
