,precision,recall,f1-score,support
angry,0.4420731707317073,0.6374900079936051,0.5220949263502456,2502.0
calm,0.5533573141486811,0.7267716535433071,0.6283185840707964,2540.0
disgust,0.8033495407887629,0.5815408682049277,0.6746823956442832,2557.0
fearful,0.49940828402366866,0.3688811188811189,0.42433383609854197,2288.0
happy,0.713353115727003,0.5404676258992805,0.6149910463034023,2224.0
neutral,0.4995648389904265,0.5026269702276708,0.5010912265386295,1142.0
sad,0.5384006334125099,0.5194805194805194,0.5287713841368584,2618.0
surprised,0.28943694741740345,0.29298162976919456,0.2911985018726592,2123.0
accuracy,0.529620984772702,0.529620984772702,0.529620984772702,0.529620984772702
macro avg,0.5423679806550203,0.521280049249953,0.523185237626927,17994.0
weighted avg,0.5495950569021019,0.529620984772702,0.5302197167253455,17994.0
