,precision,recall,f1-score,support
angry,0.6483516483516484,0.3301358912869704,0.4375,2502.0
disgust,0.6396986570586308,0.7637856863511928,0.6962566844919785,2557.0
fearful,0.5846736045411542,0.5402097902097902,0.5615629259427533,2288.0
happy,0.6970740103270223,0.7284172661870504,0.7124010554089711,2224.0
sad,0.4512266355140187,0.5901451489686784,0.5114200595829197,2618.0
accuracy,0.5890557059643942,0.5890557059643942,0.5890557059643942,0.5890557059643942
macro avg,0.6042049111584948,0.5905387566007365,0.5838281450853245,12189.0
weighted avg,0.6011340083852574,0.5890557059643942,0.5811048469948842,12189.0
