,precision,recall,f1-score,support
angry,0.6767036450079239,0.3413269384492406,0.4537725823591923,2502.0
calm,0.6766503667481663,0.43582677165354333,0.5301724137931034,2540.0
disgust,0.47745358090185674,0.9151349237387564,0.6275140788415123,2557.0
fearful,0.41871530531324347,0.46153846153846156,0.43908523908523917,2288.0
happy,0.6405117270788913,0.6753597122302158,0.6574742832129569,2224.0
sad,0.2928388746803069,0.2624140565317036,0.2767929089443997,2618.0
surprised,0.2902173913043478,0.251530852567122,0.26949280847842544,2123.0
accuracy,0.4794683123664847,0.4794683123664847,0.4794683123664847,0.4794683123664847
macro avg,0.496155841576391,0.47759024524414906,0.46490061638783275,16852.0
weighted avg,0.4983358445851262,0.4794683123664847,0.465829416840951,16852.0
