,precision,recall,f1-score,support
angry,0.46262028127313104,0.49960031974420466,0.48039969254419673,2502.0
calm,0.6420518602029313,0.4484251968503937,0.5280482151135837,2540.0
disgust,0.5458832063837504,0.5885803676183027,0.5664283025969138,2557.0
fearful,0.3643483709273183,0.5083041958041958,0.4244525547445256,2288.0
happy,0.5447330447330447,0.6789568345323741,0.6044835868694955,2224.0
neutral,0.3831578947368421,0.637478108581436,0.4786324786324786,1142.0
sad,0.25222755311857437,0.14056531703590527,0.18052489575668385,2618.0
surprised,0.34561891515994436,0.23410268487988695,0.27913507441729846,2123.0
accuracy,0.4534844948316105,0.4534844948316105,0.4534844948316105,0.4534844948316105
macro avg,0.4425801408169421,0.4670016281308374,0.442763100084397,17994.0
weighted avg,0.4479756251134005,0.4534844948316105,0.4400852973215982,17994.0
